size_1,size_2,size_3,size_4,size_5,size_6,size_7,size_8,size_9,size_10,size_11,size_12,size_13,size_14,size_15
0.000001,0.000000,0.000000,0.000001,0.000001,0.000002,0.000008,0.000029,0.000116,0.000494,0.002337,0.008980,0.048803,0.286209,1.797817
0.000000,0.000000,0.000000,0.000000,0.000001,0.000002,0.000008,0.000027,0.000114,0.000494,0.002010,0.008916,0.048872,0.287453,1.788547
0.000000,0.000000,0.000000,0.000000,0.000001,0.000002,0.000007,0.000027,0.000117,0.000491,0.001860,0.008945,0.049290,0.288391,1.775209
0.000000,0.000000,0.000000,0.000000,0.000001,0.000002,0.000007,0.000027,0.000114,0.000494,0.001653,0.009473,0.049607,0.290284,1.779171
0.000000,0.000000,0.000000,0.000000,0.000001,0.000002,0.000007,0.000027,0.000113,0.000491,0.001756,0.008955,0.049378,0.288353,1.781992
