size_1,size_2,size_3,size_4,size_5,size_6,size_7,size_8,size_9,size_10,size_11,size_12,size_13,size_14,size_15
0.000002,0.000001,0.000002,0.000006,0.000018,0.000064,0.000248,0.001027,0.002833,0.011956,0.060308,0.320603,1.826010,10.829005,71.475116
0.000001,0.000001,0.000002,0.000006,0.000018,0.000064,0.000252,0.001011,0.002554,0.011755,0.058706,0.325087,1.819831,11.124477,71.735028
0.000001,0.000001,0.000002,0.000006,0.000019,0.000067,0.000249,0.001018,0.002661,0.011977,0.059332,0.322239,1.794396,11.190253,72.493567
0.000001,0.000001,0.000002,0.000006,0.000019,0.000064,0.000405,0.001002,0.002742,0.011864,0.059687,0.321479,1.777863,11.108369,72.138424
0.000000,0.000001,0.000002,0.000006,0.000019,0.000068,0.000250,0.001002,0.002559,0.011841,0.059566,0.323204,1.782210,11.132990,71.664111
