size_1,size_2,size_3,size_4,size_5,size_6,size_7,size_8,size_9,size_10,size_11,size_12,size_13,size_14,size_15
0.000001,0.000000,0.000000,0.000001,0.000001,0.000002,0.000006,0.000023,0.000084,0.000357,0.001810,0.008763,0.047822,0.284338,1.788996
0.000000,0.000000,0.000000,0.000000,0.000001,0.000002,0.000005,0.000019,0.000083,0.000353,0.001723,0.008633,0.048268,0.290409,1.785731
0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000005,0.000019,0.000082,0.000357,0.001652,0.008907,0.048127,0.286903,1.783701
0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000005,0.000019,0.000083,0.000380,0.001706,0.008828,0.047786,0.285700,1.781421
0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000004,0.000018,0.000086,0.000388,0.001756,0.008666,0.047741,0.284800,1.774922
